Customer_ID;Gender;Age;Tenure;Saving_Amount;Current_Amount;Time_Deposits_Amount;Funds_Amount;Stocks_Amount;Bank_Assurance_Amount;Life_Assurance_Amount;Business_Loan_Amount;Home_Loan_Amount;Consumer_Loan_Amount;Branch_Transactions;ATM_Transactions;Phone_Transactions;Internet_Transactions;Standing_Orders;New_Credit_Card_Flag
1;M;52;49;0.000000;0.000000;0.000000;0.000000;0.000000;139.194286;0.000000;0.000000;20044.611429;0.000000;0;0;0;0;0;0
2;F;59;49;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;32.205714;0.000000;0.000000;2430.224286;4;3;0;0;0;0
3;M;52;49;18.825714;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0;0;0;0
4;M;54;49;0.000000;603.791429;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;7;7;0;0;12;0
5;F;61;49;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;2.720000;0;0;0;0;0;0
6;M;39;128;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1074.232857;1;0;0;0;0;0
7;M;55;49;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.160000;0;0;0;0;0;0
8;M;63;49;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.160000;0;0;0;0;0;0
9;M;50;49;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1003.937143;2;0;0;0;0;0
10;F;40;49;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.462857;0;0;0;0;0;0
11;F;65;49;8.480000;0.000000;0.000000;0.000000;0.000000;70.505714;0.000000;2418.974286;0.000000;1684.461429;5;0;0;0;0;0
12;M;49;49;3.185714;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0;0;0;0
13;M;65;49;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;6650.691429;0;0;0;0;0;0
14;M;43;49;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;2.165714;0;0;0;0;0;0
15;M;53;49;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;8367.482857;4;10;0;0;0;0
16;M;49;49;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1578.294286;2;2;0;0;0;0
17;M;47;49;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.051429;0;0;0;0;0;0
18;M;56;49;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;65000.000000;0.000000;0;0;0;0;0;0
19;M;76;49;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;2129.117143;1;0;0;0;0;0
20;M;65;49;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.028571;0;0;0;0;0;0
21;M;63;49;15334.615714;207.142857;47750.570000;6058.881429;0.000000;0.000000;0.000000;0.000000;5868.297143;0.000000;29;21;0;0;0;0
22;M;57;49;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.628571;0;0;0;0;0;1
23;M;43;49;1697.498571;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;118667.334286;0.287143;30;12;0;0;1;0
24;F;43;49;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;6492.125714;0;9;0;0;0;0
25;M;49;49;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;4669.924286;23;0;0;0;0;0
26;M;45;49;583.491429;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1;19;1;0;0;1
27;F;51;49;4.111429;7.137143;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1994.247143;11;0;0;0;0;1
